productid,suggestion
HBV00000JT7PY,"['HBV00000NGSTK - 0.3384889339385999', 'HBV00000NGSTC - 0.24647968569171508']"
HBV00000JUH71,['HBV00000NE0SS - 0.22644432079560073']
HBV00000JUH81,['HBV00000NE0SW - 0.7186081910435369']
HBV00000JUH85,['HBV00000NE0SS - 0.20409168748118356']
HBV00000JUHBC,"['HBV00000NFMNF - 0.3260598437089379', 'HBV00000QU3YB - 0.260523787988855', 'HBV00000NE1OA - 0.24251915123720427', 'HBV00000IFZG2 - 0.24095163355413973', 'ZYHPESKINTSK004 - 0.20399365397462946', 'HBV00000NE1FA - 0.15885521371554662', 'HBV00000NE158 - 0.13372875542154472', 'HBV00000NE0TU - 0.09844566549517159', 'HBV00000NE257 - 0.07457246458703319', 'HBV00000NE259 - 0.07177816930873787', 'HBV00000NE0TW - 0.06901816072774655', 'HBV00000PVCIJ - 0.023443733861009827', 'HBV00000IQDIZ - 0.023257140837263268']"
HBV00000JUHCS,['HBV00000JUHCW - 0.7049477483532406']
HBV00000JUHCW,['HBV00000JUHCS - 0.7049477483532406']
HBV00000JUHHW,['HBV00000JUHIC - 0.5119000043325013']
HBV00000JUHI4,['ZYHPCOCACEIC007 - 0.6840776221852646']
HBV00000JUHIC,"['HBV00000JUHHW - 0.5119000043325013', 'ZYHPPEPSIMSY037 - 0.33594466138814993']"
HBV00000JUHIU,"['HBV00000OE95O - 0.2816017025070589', 'HBV00000PV7A2 - 0.22787975611447547']"
HBV00000JUHKQ,"['HBV00000NFGXT - 0.44105037308743966', 'HBV00000JUHKS - 0.3979403801457687', 'ZYBICN9286333 - 0.30104098545392993', 'HBV00000PVBEX - 0.20566606225284614', 'HBV00000PNGP0 - 0.1753501946178223', 'HBV00000PNGP2 - 0.08090916185156745']"
HBV00000JUHKS,"['ZYHPSOLENKGF001 - 0.4311493083196111', 'HBV00000JUHKQ - 0.3979403801457687', 'HBV00000NFGXT - 0.3556887831511573', 'HBV00000PVBEX - 0.18064720399783826', 'HBV00000PNGP2 - 0.05589030359655958', 'ZYHPULKERCIK042 - 0.05508838518134111']"
HBV00000JUHKU,"['HBV00000PQLVL - 0.2465799309731816', 'HBV00000QU6IH - 0.21779909516372875', 'HBV00000QU6IN - 0.1940629015238099', 'HBV00000PVCSA - 0.187059642172419', 'HBV00000U271N - 0.17007513359657012', 'HBV00000PQLYB - 0.1044369587131462', 'HBV00000PQLVH - 0.1025702436244766', 'HBV00000PVCRI - 0.09991868588075697', 'HBV000006D2ZI - 0.09851719924588669', 'ZYULKER0009204 - 0.08181107916748763', 'ZYULKER0007200 - 0.07121854569280003', 'HBV00000JUHLM - 0.05929851845406336', 'HBV00000PLGTZ - 0.053378758986803845', 'HBV00000JUHL6 - 0.04832376249619536', 'ZYHPULKERBSK080 - 0.04735210708800447', 'HBV00000NE1VV - 0.038565890883618094', 'HBV00000NFGXT - 0.029262250453831185', 'ZYULKER0007804 - 0.027860763818960847', 'HBV00000PVQ93 - 0.025339416138054023', 'HBV00000PV795 - 0.005534564240660467', 'ZYHPULKERKGF024 - 0.005052037325782176']"
HBV00000JUHL6,"['HBV00000JUHLM - 0.39540129043600575', 'ZYULKER0009204 - 0.36772041439973874', 'HBV00000PVCRI - 0.3457928680010583', 'HBV00000PVQ93 - 0.3049120541057709', 'ZYULKER0007200 - 0.2695225030346483', 'HBV00000DW9O1 - 0.264978148936391', 'HBV00000PNG99 - 0.16882979960749037', 'HBV00000JUHKU - 0.04832376249619541']"
HBV00000JUHLE,['HBV00000PVQ95 - 0.49923343199925946']
HBV00000JUHLG,"['HBV00000PV7AZ - 0.1829437039920397', 'HBV00000QU4CI - 0.05819737897195368']"
HBV00000JUHLM,"['HBV00000JUHL6 - 0.39540129043600575', 'HBV00000PNG99 - 0.16882979960749037', 'ZYHPULKERCIK042 - 0.1237802851757083', 'HBV00000JUHKU - 0.05929851845406341', 'HBV00000LML58 - 0.05767317589370684']"
HBV00000JUHN2,"['HBV00000PQLUB - 0.3035948340206844', 'HBV00000QU4CC - 0.24205111889330752', 'HBV00000PVCRI - 0.22960713578364308', 'HBV00000NE1VV - 0.1375522473058565', 'HBV00000PV7AZ - 0.1338823540859271', 'HBV00000QU4CI - 0.0015955058797072713']"
HBV00000JUHOY,['HBV00000QU6FS - 0.7829167518908511']
HBV00000KJMHN,"['HBV00000PLGCD - 0.1900284910982779', 'HBV00000NE17E - 0.16838316182912028']"
HBV00000LML39,"['ZYBICN9286625 - 0.315359112063953', 'HBV00000PQKXW - 0.1856801141928594']"
HBV00000LML58,"['HBV00000NVZIE - 0.13100313458140783', 'HBV00000P7VP1 - 0.09360064163463769', 'HBV00000PLGE8 - 0.08316508979568166', 'HBV00000QU4CO - 0.08283209509796469', 'HBV00000JUHLM - 0.057673175893706886', 'HBV00000NFGTT - 0.04447303356420247', 'ZYHPULKERCIK042 - 0.039334753834884266', 'HBV00000NG8NP - 0.03645913185353427', 'HBV00000NFGTP - 0.03333184187752192', 'HBV00000P7VMU - 0.02929697356271527', 'HBV00000QU6IR - 0.02234400775591135']"
HBV00000LML5S,"['ZYHPETICEDIY004 - 0.5108159642718462', 'ZYHPETICEDIY011 - 0.46980494031374603', 'HBV00000OE95O - 0.4060702164660983', 'HBV00000PV7A2 - 0.28337798158169786']"
HBV00000NE0PX,['HBV00000NE0Q3 - 0.8390299481078018']
HBV00000NE0Q3,['HBV00000NE0PX - 0.8390299481078018']
HBV00000NE0QQ,"['HBV000005E662 - 0.23101117464091564', 'HBV00000RJ9NF - 0.15888862942937584']"
HBV00000NE0S5,"['HBV00000NE23X - 0.4717491979061061', 'HBV00000NE0XG - 0.3862188776444146']"
HBV00000NE0S9,['HBV00000NE130 - 0.7479365952695096']
HBV00000NE0SS,"['HBV00000NE0SY - 0.3014592152810687', 'HBV00000JUH71 - 0.22644432079560084', 'HBV00000JUH85 - 0.20409168748118356']"
HBV00000NE0SW,['HBV00000JUH81 - 0.7186081910435369']
HBV00000NE0SY,['HBV00000NE0SS - 0.3014592152810687']
HBV00000NE0T4,"['HBV00000NE0WG - 0.1751920458369313', 'HBV00000NE1SP - 0.15222997699871263', 'HBV00000P7VR8 - 0.13813740193396187', 'HBV00000NE1E9 - 0.10692035496388723', 'HBV00000NE1XR - 0.050914246526739454']"
HBV00000NE0T6,"['HBV00000P7VR8 - 0.1725866782063258', 'HBV00000NE1SP - 0.06649539985376644', 'HBV00000NE0TW - 0.023279084925591265']"
HBV00000NE0TA,"['HBV00000P7VR8 - 0.03212647407532882', 'HBV00000NE1EX - 0.02260606290725134', 'HBV00000NE1FQ - 0.008513970450153898']"
HBV00000NE0TJ,"['ZYHPULKERMRG004 - 0.11514286572602564', 'ZYHPESKINTSK004 - 0.008419294962108826']"
HBV00000NE0TU,"['HBV00000NE158 - 0.12104529331911892', 'HBV00000NE1FA - 0.10516072765502069', 'HBV00000JUHBC - 0.09844566549517159', 'HBV00000NE257 - 0.08956987852087446', 'HBV00000NE259 - 0.0770993439579628', 'HBV00000NE1HJ - 0.07617557314329548', 'HBV00000SP6XZ - 0.047785713796591134', 'HBV00000NE1SP - 0.034840418859697894', 'HBV00000NE24H - 0.019180326111882494', 'HBV00000NE1FQ - 0.012087102608757224', 'HBV00000SP6XX - 0.0076425213563262205', 'HBV00000NFMR0 - 0.004112672057231864', 'HBV00000NE0TW - 0.003785869911664313']"
HBV00000NE0TW,"['HBV00000NE158 - 0.21426000389458777', 'HBV00000NE1FA - 0.21411177464558107', 'HBV00000NE1OA - 0.2004081843673535', 'HBV00000NE1SP - 0.16870364263434168', 'HBV00000NE257 - 0.14412895710220835', 'HBV00000NE24H - 0.12868336817019818', 'HBV00000NE259 - 0.12824733628715776', 'HBV00000QU3YB - 0.10350878967551477', 'HBV00000NE1T4 - 0.09717209241098053', 'HBV00000NE1HJ - 0.08775909233397063', 'HBV00000JUHBC - 0.06901816072774655', 'HBV00000NE0T6 - 0.023279084925591265', 'HBV00000SP6XZ - 0.015696191247906957', 'HBV00000PLGWT - 0.012814971360074345', 'HBV00000P7VR8 - 0.009324975779172717', 'HBV00000NE0TU - 0.003785869911664313', 'HBV00000NE1E9 - 0.003599842711072929']"
HBV00000NE0UQ,['HBV00000NE0Z4 - 0.34392615291238865']
HBV00000NE0WG,"['HBV00000NE1E9 - 0.4523625505301189', 'HBV00000NE1BO - 0.4007220139241182', 'HBV00000NE1XR - 0.29935926957858533', 'HBV00000NE1OA - 0.21988061019159993', 'HBV00000NE1SP - 0.20629230922008365', 'HBV00000NE1FA - 0.17722769662804236', 'HBV00000NE259 - 0.17630011643841664', 'HBV00000NE24H - 0.17553004421341767', 'HBV00000NE0T4 - 0.1751920458369313', 'HBV00000NE257 - 0.17317465224945247', 'HBV00000NE158 - 0.15210123833404052', 'HBV00000P7VR8 - 0.12298121549976118', 'HBV00000NFH57 - 0.0894574686919851']"
HBV00000NE0X1,"['HBV00000P7VR8 - 0.18365142731491524', 'HBV00000NE257 - 0.0900915746431586']"
HBV00000NE0XG,"['HBV00000NE1E0 - 0.4660316445970634', 'HBV00000NE23X - 0.4043765854310489', 'HBV00000NE12W - 0.401979726441945', 'HBV00000NE0S5 - 0.3862188776444146', 'HBV00000NE12U - 0.2790413453192966', 'ZYMRKT140060 - 0.26875870645279426', 'HBV00000PQLQG - 0.13276266427049935', 'HBV00000NG8KO - 0.05638413008958472', 'HBV00000DJ9S1 - 0.04318398776008036', 'HBV000006IYYQ - 0.0086762200354188']"
HBV00000NE0XM,"['HBV00000NE241 - 0.5245166498958266', 'HBV00000NE1SP - 0.33237059807773633']"
HBV00000NE0XW,['HBV00000PNG99 - 0.16563913792314852']
HBV00000NE0Z4,"['HBV00000NE0UQ - 0.34392615291238865', 'HBV000006IYYA - 0.2180473655110313', 'HBV00000PQJK3 - 0.10549257607108971', 'ZYBICN9286557 - 0.030821603135004334']"
HBV00000NE0ZA,['HBV000006IYY4 - 0.020940021797408916']
HBV00000NE0ZQ,"['HBV00000NE1EV - 0.30129436523541425', 'HBV00000SP6XX - 0.27416056172798214', 'HBV00000NE1EX - 0.2351669313573608', 'HBV00000NE0ZW - 0.22809454127927348']"
HBV00000NE0ZU,"['HBV00000NE1D3 - 0.5034520707588854', 'HBV00000NFMLA - 0.4404264118628543', 'HBV00000NE0ZW - 0.43007561712957176', 'HBV00000NE1EX - 0.40541408679280205', 'HBV00000NE1EV - 0.35889819043967913', 'HBV00000SP6XX - 0.3376841463995065', 'HBV00000NG8K2 - 0.02946136408820616']"
HBV00000NE0ZW,"['HBV00000NFMLA - 0.452588177842996', 'HBV00000NE1D3 - 0.433408091077029', 'HBV00000NE0ZU - 0.43007561712957165', 'HBV00000NE1EX - 0.42391255003747796', 'HBV00000NE10A - 0.3426517139381835', 'HBV00000SP6XX - 0.32563569925159924', 'HBV00000NE10E - 0.3107172247385463', 'HBV00000NE1EV - 0.28619219297656356', 'HBV00000NE0ZQ - 0.22809454127927348', 'HBV00000NG8K2 - 0.013663865534630882', 'HBV00000NE1XR - 0.002830832490552051']"
HBV00000NE0ZY,"['HBV00000NE10A - 0.4246737618543839', 'HBV00000NE10E - 0.3927392726547466']"
HBV00000NE106,['HBV00000NFMLA - 0.6421385840622065']
HBV00000NE10A,"['HBV00000NE10E - 0.6136030782802988', 'HBV00000NE0ZY - 0.4246737618543839', 'HBV00000NE0ZW - 0.3426517139381835']"
HBV00000NE10E,"['HBV00000NE10A - 0.6136030782802988', 'HBV00000NE0ZY - 0.3927392726547466', 'HBV00000NE1EX - 0.3606673538634033', 'HBV00000NE0ZW - 0.3107172247385463', 'HBV00000NG8K2 - 0.05448022234321402']"
HBV00000NE11I,"['HBV00000NFMMC - 0.3284070428562634', 'HBV00000OE95O - 0.32346315423515415', 'HBV00000GNAXL - 0.30907533513308894', 'ZYHPETICEDIY014 - 0.3041163078454043', 'HBV00000PVCRF - 0.2752342529180215', 'HBV00000PV7A2 - 0.2406765952505295']"
HBV00000NE12P,"['HBV00000PVCI8 - 0.11739507855639739', 'HBV00000QU46J - 0.07996602471628035', 'HBV00000NE1FA - 0.04661320005331632', 'HBV00000NE257 - 0.03337774288313526', 'HBV00000NE259 - 0.021986049127992624']"
HBV00000NE12U,"['HBV00000NE12W - 0.5666949721519453', 'HBV00000NE23X - 0.35598988833246936', 'HBV00000NE0XG - 0.2790413453192966']"
HBV00000NE12W,"['HBV00000NE12U - 0.5666949721519453', 'HBV00000NE23X - 0.4617115069843677', 'HBV00000NE0XG - 0.401979726441945']"
HBV00000NE130,"['HBV00000NE0S9 - 0.7479365952695096', 'HBV00000NE241 - 0.5459555194192115']"
HBV00000NE138,"['HBV00000PVCRI - 0.34686655919109766', 'HBV00000QU4CI - 0.0005166650719382862']"
HBV00000NE158,"['HBV00000NE1OA - 0.49772113722642575', 'HBV00000NE24H - 0.396840437234018', 'HBV00000NE1FA - 0.3152269959283203', 'HBV00000NE1HJ - 0.2903801056777076', 'HBV00000NE259 - 0.25308714781257013', 'HBV00000NE1SP - 0.2145007594321042', 'HBV00000NE0TW - 0.21426000389458777', 'HBV00000NE1E9 - 0.1595148981126625', 'HBV00000NE257 - 0.15370222642520606', 'HBV00000NE0WG - 0.15210123833404052', 'HBV00000JUHBC - 0.13372875542154466', 'HBV00000NE0TU - 0.12104529331911897', 'HBV00000SP6XZ - 0.11736476552121533', 'HBV00000NE1T6 - 0.08818971331618942', 'HBV00000NE1FQ - 0.08343732787212126', 'HBV00000NE1XR - 0.0780168757735399', 'HBV00000PLGWT - 0.06085587611195729', 'HBV00000P7VR8 - 0.05033599973727294', 'HBV00000QU46H - 0.018530879550601145']"
HBV00000NE163,['HBV00000QU4CI - 0.05444050037311817']
HBV00000NE17E,['HBV00000KJMHN - 0.16838316182912028']
HBV00000NE182,"['HBV00000PLGNP - 0.6240992319964614', 'ZYUNIL20264025 - 0.6144175118361921', 'ZYUNIL581595 - 0.5985329461720938', 'ZYUNIL70020865 - 0.5789607917373786', 'HBV00000U27G9 - 0.47411955729046']"
HBV00000NE19F,['HBV00000U27OR - 0.06265021430151341']
HBV00000NE1AN,['HBV00000P7VMW - 0.06639200390746063']
HBV00000NE1BO,"['HBV00000NE0WG - 0.4007220139241182', 'HBV00000NE1E9 - 0.37684393522156606', 'HBV00000NE1XR - 0.26598010104840947', 'HBV00000NE1OA - 0.17477564034061804', 'HBV00000NE259 - 0.14932075020256977', 'HBV00000NE257 - 0.1280696823984706', 'HBV00000NE1FA - 0.09680663680300759', 'HBV00000NE1T4 - 0.09680663680300759', 'HBV00000NE1SP - 0.07965911794592663', 'HBV00000P7VR8 - 0.07140941365268488']"
HBV00000NE1CQ,['HBV00000NE1CS - 0.4250999778023293']
HBV00000NE1CS,['HBV00000NE1CQ - 0.4250999778023293']
HBV00000NE1D3,"['HBV00000NFMLA - 0.5189711808150108', 'HBV00000NE0ZU - 0.5034520707588854', 'HBV00000NE1EX - 0.47477644295336746', 'HBV00000NE0ZW - 0.4334080910770291', 'HBV00000SP6XX - 0.40970852034133104', 'HBV00000NE1EV - 0.3872495226421443', 'HBV00000NG8K2 - 0.03637382676728645']"
HBV00000NE1E0,['HBV00000NE0XG - 0.4660316445970634']
HBV00000NE1E9,"['HBV00000NE0WG - 0.4523625505301189', 'HBV00000NE1BO - 0.37684393522156606', 'HBV00000NE1XR - 0.29085428477823017', 'HBV00000NE1OA - 0.192619943276656', 'HBV00000NE259 - 0.18516968989025842', 'HBV00000NE1FA - 0.1828490132403876', 'HBV00000NE1T4 - 0.17366660044879648', 'HBV00000NE1SP - 0.1680568863472718', 'HBV00000NE158 - 0.1595148981126625', 'HBV00000NE257 - 0.15207705242660238', 'HBV00000NE24H - 0.14193268003393947', 'HBV00000P7VR8 - 0.13375221935436696', 'HBV00000NE1HJ - 0.10710465475070526', 'HBV00000NE0T4 - 0.10692035496388723', 'HBV00000NFH57 - 0.09953314625186628', 'HBV00000NFMR0 - 0.018372063722726432', 'HBV00000NE0TW - 0.003599842711072929']"
HBV00000NE1ER,['HBV00000NE1XR - 0.16113886660149096']
HBV00000NE1EV,"['HBV00000NE1D3 - 0.3872495226421443', 'HBV00000NE1EX - 0.3794140472718339', 'HBV00000OE6QQ - 0.3605183982409626', 'HBV00000NE0ZU - 0.35889819043967913', 'HBV00000NFML8 - 0.3183809929746041', 'HBV00000NE0ZQ - 0.30129436523541425', 'HBV00000SP6XX - 0.2971669489344315', 'HBV00000NE0ZW - 0.28619219297656356']"
HBV00000NE1EX,"['HBV00000NE1D3 - 0.47477644295336746', 'HBV00000NE0ZW - 0.42391255003747796', 'HBV00000NE0ZU - 0.40541408679280205', 'HBV00000SP6XX - 0.40021297930178', 'HBV00000OE6QQ - 0.38559542507070055', 'HBV00000NE1EV - 0.3794140472718339', 'HBV00000NFMLA - 0.3732252867947614', 'HBV00000NE10E - 0.3606673538634033', 'HBV00000NE0ZQ - 0.2351669313573607', 'HBV00000NG8K2 - 0.08970654410453521', 'HBV00000NE257 - 0.08558857322030539', 'HBV00000NE1FQ - 0.07433933537697153', 'HBV00000P7VR8 - 0.053854652805448475', 'HBV00000NE0TA - 0.022606062907251288']"
HBV00000NE1FA,"['HBV00000NE24H - 0.3699811156120518', 'HBV00000NE1OA - 0.3669325401188381', 'HBV00000NE158 - 0.3152269959283203', 'HBV00000NE1SP - 0.2691696592333132', 'HBV00000NE1SN - 0.26090215288416985', 'HBV00000NE259 - 0.2228704821146201', 'HBV00000NE0TW - 0.21411177464558107', 'HBV00000NE1HJ - 0.18329107930581792', 'HBV00000NE1E9 - 0.1828490132403876', 'HBV00000NE257 - 0.17778488759223707', 'HBV00000NE0WG - 0.1772276966280424', 'HBV00000NE1T4 - 0.16557027587539572', 'HBV00000JUHBC - 0.15885521371554662', 'HBV00000QU3YB - 0.13276266427049935', 'HBV00000NE0TU - 0.10516072765502069', 'HBV00000NE1BO - 0.09680663680300759', 'HBV00000SP6XZ - 0.09455848827783905', 'HBV00000P7VR8 - 0.0895887594439751', 'HBV00000NE1XR - 0.08583188084513965', 'HBV00000NE12P - 0.04661320005331632', 'HBV00000NE1T6 - 0.03427347688254157', 'HBV00000NFH57 - 0.03109408999719096', 'HBV00000QU46J - 0.017516131234795302', 'HBV00000NE1FQ - 0.01735932545833175', 'HBV00000QU46H - 0.017163471830609785', 'HBV00000PLGWT - 0.01410958142134208']"
HBV00000NE1FK,['HBV00000P7VR8 - 0.07464598571114835']
HBV00000NE1FQ,"['HBV00000NFMR0 - 0.12026723001401543', 'HBV00000NE158 - 0.08343732787212126', 'HBV00000NE1EX - 0.07433933537697159', 'HBV00000NE1FA - 0.017359325458331697', 'HBV00000NE0TU - 0.012087102608757123', 'HBV00000NE0TA - 0.008513970450153847']"
HBV00000NE1HJ,"['HBV00000NE1OA - 0.3114535195931196', 'HBV00000NE158 - 0.2903801056777076', 'HBV00000NE24H - 0.24276161959875242', 'HBV00000NE1SP - 0.23884955791185247', 'HBV00000NE1FA - 0.18329107930581792', 'HBV00000NE259 - 0.1372250588571093', 'HBV00000NE1E9 - 0.10710465475070526', 'HBV00000NE257 - 0.10298963547787356', 'HBV00000NE0TW - 0.08775909233397057', 'HBV00000NE0TU - 0.07617557314329548', 'HBV00000NE1XR - 0.029659676790172614']"
HBV00000NE1KS,['HBV00000PKHK4 - 0.1112156255326098']
HBV00000NE1LM,['HBV00000PQKXW - 0.0031630235627718123']
HBV00000NE1MH,['HBV00000NE1MJ - 0.5440539410512986']
HBV00000NE1MJ,"['HBV00000NE1MH - 0.5440539410512986', 'ZYBICN9287669 - 0.15778852350209402', 'ZYBICN9287641 - 0.011169744664320849']"
HBV00000NE1MV,"['HBV00000PLGCD - 0.37511300079841076', 'HBV00000PQK8U - 0.3473603856841228', 'HBV00000NG8K2 - 0.008516321057846428']"
HBV00000NE1NT,['HBV00000NE1NV - 0.759217181155153']
HBV00000NE1NV,['HBV00000NE1NT - 0.759217181155153']
HBV00000NE1OA,"['HBV00000NE158 - 0.49772113722642575', 'HBV00000NE24H - 0.4299454823980115', 'HBV00000NE1FA - 0.3669325401188381', 'HBV00000NE1HJ - 0.3114535195931196', 'HBV00000NE259 - 0.253361629698036', 'HBV00000NE1SP - 0.24362449929552862', 'HBV00000JUHBC - 0.24251915123720427', 'HBV00000NE0WG - 0.21988061019159985', 'HBV00000NE0TW - 0.20040818436735344', 'HBV00000NE1E9 - 0.192619943276656', 'HBV00000NE1BO - 0.174775640340618', 'HBV00000NFH57 - 0.16838569704027412', 'HBV00000NE257 - 0.15677100358896728', 'HBV00000P7VR8 - 0.15278969828839825', 'HBV00000NE1XR - 0.13027713757497397', 'HBV00000PLGWT - 0.11063061121786595', 'HBV00000NE1T6 - 0.10577564842405764']"
HBV00000NE1Q4,"['HBV00000NFMQ2 - 0.6225958083093364', 'HBV00000PQLJ6 - 0.2201086263056284']"
HBV00000NE1SJ,"['HBV00000PQLFR - 0.43007561712957176', 'HBV00000PVQ95 - 0.3894769450325545', 'HBV00000QU4CI - 0.044867231050120505']"
HBV00000NE1SN,['HBV00000NE1FA - 0.26090215288416985']
HBV00000NE1SP,"['HBV00000NE0XM - 0.3323705980777362', 'HBV00000NE1FA - 0.2691696592333132', 'HBV00000NE1OA - 0.24362449929552873', 'HBV00000NE1HJ - 0.23884955791185247', 'HBV00000NE24H - 0.22989521563232243', 'HBV00000NE158 - 0.2145007594321042', 'HBV00000NE0WG - 0.20629230922008365', 'HBV00000NE0TW - 0.16870364263434168', 'HBV00000NE1E9 - 0.1680568863472718', 'HBV00000NE259 - 0.16408797807485367', 'HBV00000NE257 - 0.1614618212545677', 'HBV00000NE0T4 - 0.15222997699871268', 'HBV00000NE1XR - 0.09753361996601716', 'HBV00000P7VR8 - 0.08397904534245046', 'HBV00000NE1BO - 0.07965911794592663', 'HBV00000NE0T6 - 0.06649539985376644', 'HBV00000SP6XZ - 0.04224281623416698', 'HBV00000NE0TU - 0.034840418859697894', 'HBV00000IQDIZ - 0.000662918159889646']"
